Placeholder		
Volume (mL)	E(pH)	Temperature
0	9.86	25
0.01	9.86	25
0.05	9.78	25
0.144	9.6	25
0.169	9.52	25
0.212	9.41	25
0.229	9.33	25
0.248	9.26	25
0.271	9.17	25
0.282	9.1	25
0.293	9.04	25
0.303	8.97	25
0.313	8.9	25
0.323	8.82	25
0.333	8.73	25
0.343	8.64	25
0.353	8.52	25
0.363	8.38	25
0.373	8.23	25
0.383	8.06	25
0.393	7.91	25
0.403	7.79	25
0.414	7.72	25
0.427	7.66	25
0.455	7.61	25
0.468	7.57	25
0.492	7.52	25
0.505	7.49	25
0.54	7.44	25
0.556	7.39	25
0.573	7.34	25
0.59	7.29	25
0.605	7.23	25
0.619	7.18	25
0.632	7.13	25
0.643	7.07	25
0.654	7.01	25
0.667	6.95	25
0.677	6.89	25
0.688	6.83	25
0.698	6.78	25
0.715	6.72	25
0.725	6.67	25
0.742	6.62	25
0.767	6.56	25
0.777	6.51	25
0.787	6.48	25
0.81	6.42	25
0.849	6.35	25
0.861	6.31	25
0.898	6.23	25
0.913	6.19	25
0.947	6.12	25
1.001	5.99	25
1.041	5.88	25
1.087	5.75	25
1.143	5.53	25
1.192	5.24	25
1.22	5	25
1.237	4.82	25
1.252	4.67	25
1.268	4.54	25
1.285	4.42	25
1.305	4.31	25
