Placeholer		
Volume (mL)	E(mV)	Temperature
0	-86.8	21.4
0.01	-86.7	21.4
0.049	-83.2	21.4
0.067	-79.6	21.4
0.086	-75.9	21.4
0.098	-72.2	21.4
0.112	-68.3	21.4
0.125	-64.2	21.4
0.142	-59.5	21.4
0.154	-55.2	21.4
0.164	-50.9	21.4
0.174	-47.2	21.4
0.184	-43.9	21.4
0.194	-41.1	21.4
0.217	-37.1	21.4
0.227	-34.1	21.4
0.238	-32	21.4
0.261	-28.3	21.4
0.271	-26	21.4
0.294	-23.2	21.4
0.33	-19	21.4
0.34	-16.9	21.4
0.376	-13	21.4
0.392	-10.3	21.4
0.404	-8.8	21.4
0.44	-8.3	21.4
0.509	-1	21.4
0.521	2.6	21.4
0.535	3.1	21.4
0.568	6.3	21.4
0.579	7.8	21.4
0.612	10.2	21.4
0.637	10.6	21.4
0.67	14.3	21.4
0.68	15.4	21.4
0.713	17.7	21.4
0.767	21.2	21.4
0.787	23	21.4
0.841	26.5	21.4
0.865	26.9	21.4
0.919	31.9	21.4
