Placeholder		
Volume (mL)	E(mV)	Temperature
0	-98.4	22.1
0.5	10.8	22.1
0.51	11.9	22.1
0.537	14.7	22.1
0.551	16.2	22.1
0.578	18.8	22.1
0.597	20.7	22.1
0.624	23.1	22.1
0.649	25.4	22.1
0.676	27.7	22.1
0.721	32	22.1
0.745	34.3	22.1
0.79	38.7	22.1
0.83	42.5	22.1
0.875	47.3	22.1
0.935	54.4	22.1
0.965	58.4	22.1
1.025	67.5	22.1
1.051	72.2	22.1
1.105	84.6	22.1
1.128	91.7	22.1
1.16	103.1	22.1
1.188	117.7	22.1
1.207	128.2	22.1
1.225	137.3	22.1
1.243	144.6	22.1
1.264	151.5	22.1
1.289	158	22.1
1.319	164.5	22.1
1.355	170.7	22.1
