SampleID	Taunc	analyte_mass g	file name	CRM type	CRM TA umol_kg-1	Titrant nominal concentration M	Titrant stardized conc M	Titration_batch	Salinity	DIC
4.0.1	2.345	50.23	T40356_20221206_1836_012_Tdata1	SS20221120_3	2342	0.1	0.1017	4	33.63333	2029.92
4.0.1	2.334	48.69	T40356_20221206_1836_012_Tdata2	SS20221120_3	2342	0.1	0.1017	4	33.63333	2029.92
4.0.1	2.334	48.38	T40356_20221206_1836_012_Tdata3	SS20221120_3	2342	0.1	0.1017	4	33.63333	2029.92
4.0.2	2.339	48.84	T40356_20221206_1846_013_Tdata1	SS20221120_3	2342	0.1	0.1017	4	32.195	2029.92
4.0.2	2.332	47.34	T40356_20221206_1846_013_Tdata2	SS20221120_3	2342	0.1	0.1017	4	32.195	2029.92
4.0.3	2.338	50.33	T40356_20221206_1859_014_Tdata1	SS20221120_3	2342	0.1	0.1017	4	32.875	2029.92
4.0.3	2.322	48.16	T40356_20221206_1859_014_Tdata2	SS20221120_3	2342	0.1	0.1017	4	32.875	2029.92
4.0.3	2.338	50.08	T40356_20221206_1859_014_Tdata3	SS20221120_3	2342	0.1	0.1017	4	32.875	2029.92
1.6.1	2.853	49.18	T40356_20221202_1733_097_Tdata1	SS20221120_2	2342	0.1	0.1015	3	33.65333	2029.92
1.6.1	2.849	49.79	T40356_20221202_1733_097_Tdata2	SS20221120_2	2342	0.1	0.1015	3	33.65333	2029.92
1.6.2	2.862	50.73	T40356_20221202_1750_098_Tdata1	SS20221120_2	2342	0.1	0.1015	3	33.28	2029.92
1.6.2	2.806	52.03	T40356_20221202_1750_098_Tdata2	SS20221120_2	2342	0.1	0.1015	3	33.28	2029.92
1.6.2	2.827	49.26	T40356_20221202_1750_098_Tdata3	SS20221120_2	2342	0.1	0.1015	3	33.28	2029.92
1.6.3	2.856	44.64	T40356_20221202_1806_099_Tdata1	SS20221120_2	2342	0.1	0.1015	3	32.94	2029.92
1.6.3	2.869	49.6	T40356_20221202_1806_099_Tdata2	SS20221120_2	2342	0.1	0.1015	3	32.94	2029.92
1.6.3	2.865	51.26	T40356_20221202_1806_099_Tdata3	SS20221120_2	2342	0.1	0.1015	3	32.94	2029.92
