Sampling	Condition	SampleID	Taunc	Tacorr	analyte_mass g	file name	CRM type	CRM TA umol_kg-1	Titrant nominal concentration M	Titrant stardized conc M	Titration_batch	Salinity	DIC	analyte_mass	CRM2
0h	4	4.0.1	2.334	2.334	48.69	T40356_20221206_1836_012_Tdata2	SS20221120_3	2342	0.1	0.1017	4	33.63	2029.92	0.04869	2214.54
0h	4	4.0.1	2.334	2.334	48.38	T40356_20221206_1836_012_Tdata3	SS20221120_3	2342	0.1	0.1017	4	33.63	2029.92	0.04838	2214.54
0h	4	4.0.2	2.339	2.339	48.84	T40356_20221206_1846_013_Tdata1	SS20221120_3	2342	0.1	0.1017	4	32.20	2029.92	0.04884	2214.54
0h	4	4.0.2	2.332	2.332	47.34	T40356_20221206_1846_013_Tdata2	SS20221120_3	2342	0.1	0.1017	4	32.20	2029.92	0.04734	2214.54
0h	4	4.0.3	2.338	2.338	50.33	T40356_20221206_1859_014_Tdata1	SS20221120_3	2342	0.1	0.1017	4	32.88	2029.92	0.05033	2214.54
0h	4	4.0.3	2.338	2.338	50.08	T40356_20221206_1859_014_Tdata3	SS20221120_3	2342	0.1	0.1017	4	32.88	2029.92	0.05008	2214.54
6h	1	1.6.1	2.853	2.853	49.18	T40356_20221202_1733_097_Tdata1	SS20221120_2	2342	0.1	0.1015	3	33.65	2029.92	0.04918	2214.54
6h	1	1.6.1	2.849	2.849	49.79	T40356_20221202_1733_097_Tdata2	SS20221120_2	2342	0.1	0.1015	3	33.65	2029.92	0.04979	2214.54
6h	1	1.6.2	2.862	2.862	50.73	T40356_20221202_1750_098_Tdata1	SS20221120_2	2342	0.1	0.1015	3	33.28	2029.92	0.05073	2214.54
6h	1	1.6.2	2.827	2.827	49.26	T40356_20221202_1750_098_Tdata3	SS20221120_2	2342	0.1	0.1015	3	33.28	2029.92	0.04926	2214.54
6h	1	1.6.3	2.869	2.869	49.6	T40356_20221202_1806_099_Tdata2	SS20221120_2	2342	0.1	0.1015	3	32.94	2029.92	0.0496	2214.54
6h	1	1.6.3	2.865	2.865	51.26	T40356_20221202_1806_099_Tdata3	SS20221120_2	2342	0.1	0.1015	3	32.94	2029.92	0.05126	2214.54
6h	2	2.6.1	2.962	2.962	50.46	T40356_20221206_1400_002_Tdata1	SS20221120_3	2342	0.1	0.1017	4	32.14	2029.92	0.05046	2214.54
6h	2	2.6.1	2.976	2.976	51.43	T40356_20221206_1400_002_Tdata3	SS20221120_3	2342	0.1	0.1017	4	32.14	2029.92	0.05143	2214.54
